,0,1,2,3,4,5,6
0,0,0,0,0,0,467,0
1,0,0,0,0,0,56,0
2,0,0,0,0,0,496,0
3,0,0,0,0,0,895,0
4,0,0,0,0,0,653,0
5,0,0,0,0,0,415,0
6,0,0,0,0,0,607,0
